    energy      energy-dH0       rate(s-1)     lifetime(s)
   10670.0        3.6     4.118262e-5      2.428209e4
   10680.0       13.6     1.220828e-1      8.191161e0
   10690.0       23.6     3.405475e-1      2.936448e0
   10700.0       33.6     6.170154e-1      1.620705e0
   10710.0       43.6     9.368901e-1      1.067361e0
   10720.0       53.6      1.291343e0     7.743877e-1
   10730.0       63.6      1.674227e0     5.972907e-1
   10740.0       73.6      2.193094e0     4.559768e-1
   10750.0       83.6      2.820698e0     3.545222e-1
   10760.0       93.6      3.518631e0     2.842015e-1
   10770.0      103.6      4.270890e0     2.341433e-1
   10780.0      113.6      5.067149e0     1.973496e-1
   10790.0      123.6      5.899841e0     1.694961e-1
   10800.0      133.6      6.866293e0     1.456390e-1
   10810.0      143.6      7.939949e0     1.259454e-1
   10820.0      153.6      9.084139e0     1.100820e-1
   10830.0      163.6      1.028295e1     9.724834e-2
   10840.0      173.6      1.152581e1     8.676177e-2
   10850.0      183.6      1.280479e1     7.809577e-2
   10860.0      193.6      1.420863e1     7.037978e-2
   10870.0      203.6      1.571208e1     6.364529e-2
   10880.0      213.6      1.728067e1     5.786812e-2
   10890.0      223.6      1.889909e1     5.291261e-2
   10900.0      233.6      2.055698e1     4.864527e-2
   10910.0      243.6      2.224650e1     4.495089e-2
   10920.0      253.6      2.404886e1     4.158201e-2
   10930.0      263.6      2.594037e1     3.854996e-2
   10940.0      273.6      2.788883e1     3.585665e-2
   10950.0      283.6      2.987976e1     3.346747e-2
   10960.0      293.6      3.190326e1     3.134475e-2
   10970.0      303.6      3.395178e1     2.945353e-2
   10980.0      313.6      3.609983e1     2.770096e-2
   10990.0      323.6      3.832530e1     2.609242e-2
   11000.0      333.6      4.059831e1     2.463157e-2
   11010.0      343.6      4.290525e1     2.330717e-2
   11020.0      353.6      4.523682e1     2.210588e-2
   11030.0      363.6      4.758590e1     2.101463e-2
   11040.0      373.6      5.016972e1     1.993234e-2
   11050.0      383.6      5.293669e1     1.889049e-2
   11060.0      393.6      5.581231e1     1.791719e-2
   11070.0      403.6      5.876619e1     1.701659e-2
   11080.0      413.6      6.177887e1     1.618676e-2
   11090.0      423.6      6.483618e1     1.542349e-2
   11100.0      433.6      6.813255e1     1.467727e-2
   11110.0      443.6      7.161585e1     1.396339e-2
   11120.0      453.6      7.521363e1     1.329546e-2
   11130.0      463.6      7.889469e1     1.267512e-2
   11140.0      473.6      8.263836e1     1.210092e-2
   11150.0      483.6      8.642923e1     1.157016e-2
   11160.0      493.6      9.044445e1     1.105651e-2
   11170.0      503.6      9.463414e1     1.056701e-2
   11180.0      513.6      9.892989e1     1.010817e-2
   11190.0      523.6      1.033015e2     9.680400e-3
   11200.0      533.6      1.077885e2     9.277428e-3
   11210.0      543.6      1.123629e2     8.899731e-3
   11220.0      553.6      1.171684e2     8.534727e-3
   11230.0      563.6      1.221506e2     8.186613e-3
   11240.0      573.6      1.272415e2     7.859071e-3
   11250.0      583.6      1.324093e2     7.552340e-3
   11260.0      593.6      1.377427e2     7.259912e-3
   11270.0      603.6      1.432020e2     6.983144e-3
   11280.0      613.6      1.489000e2     6.715915e-3
   11290.0      623.6      1.547786e2     6.460841e-3
   11300.0      633.6      1.607692e2     6.220097e-3
   11310.0      643.6      1.668384e2     5.993824e-3
   11320.0      653.6      1.730647e2     5.778186e-3
   11330.0      663.6      1.794087e2     5.573866e-3
   11340.0      673.6      1.859722e2     5.377149e-3
   11350.0      683.6      1.926994e2     5.189430e-3
   11360.0      693.6      1.995253e2     5.011895e-3
   11370.0      703.6      2.064654e2     4.843427e-3
   11380.0      713.6      2.136275e2     4.681045e-3
   11390.0      723.6      2.209495e2     4.525922e-3
   11400.0      733.6      2.286410e2     4.373669e-3
   11410.0      743.6      2.366119e2     4.226330e-3
   11420.0      753.6      2.447525e2     4.085760e-3
   11430.0      763.6      2.530555e2     3.951703e-3
   11440.0      773.6      2.616068e2     3.822531e-3
   11450.0      783.6      2.703387e2     3.699064e-3
   11460.0      793.6      2.794367e2     3.578628e-3
   11470.0      803.6      2.888113e2     3.462469e-3
   11480.0      813.6      2.983555e2     3.351707e-3
   11490.0      823.6      3.080579e2     3.246143e-3
   11500.0      833.6      3.179939e2     3.144714e-3
   11510.0      843.6      3.280974e2     3.047876e-3
   11520.0      853.6      3.385755e2     2.953551e-3
   11530.0      863.6      3.493730e2     2.862270e-3
   11540.0      873.6      3.603686e2     2.774937e-3
   11550.0      883.6      3.715328e2     2.691553e-3
   11560.0      893.6      3.829995e2     2.610969e-3
   11570.0      903.6      3.946860e2     2.533660e-3
   11580.0      913.6      4.067912e2     2.458264e-3
   11590.0      923.6      4.192437e2     2.385247e-3
   11600.0      933.6      4.319113e2     2.315290e-3
